mlb_playerID,kbo_playerID,npb_playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast,mlb_birthCountry,mlb_weight,mlb_height,mlb_bats,mlb_throws,mlb_nameFirst,mlb_nameLast,npb_birthCountry,npb_weight,npb_height,npb_bats,npb_throws,npb_nameFirst,npb_nameLast,kbo_birthCountry,kbo_weight,kbo_height,kbo_bats,kbo_throws,kbo_nameFirst,kbo_nameLast
henrios01,71353,,1974,1,28,Oscar,Henriquez,Venezuela,220,78,R,R,Oscar,Henriquez,,,,,,,,Venezuela,229,78,R,R,Oscar,Henriquez
henrydw01,,104251,1962,2,16,Dwayne,Henry,USA,205,75,R,R,Dwayne,Henry,United States,205,75,R,R,Dwayne,Henry,,,,,,,
heredgu01,53827,,1991,1,31,Guillermo,Heredia,Cuba,195,70,R,L,Guillermo,Heredia,,,,,,,,Cuba,194,70,R,L,Guillermo,Heredia
hermije01,,106263,1984,1,30,Jeremy,Hermida,USA,220,75,L,R,Jeremy,Hermida,United States,220,76,L,R,Jeremy,Hermida,,,,,,,
hernaan01,,106152,1982,10,30,Anderson,Hernandez,D.R.,190,69,B,R,Anderson,Hernandez,Dominican Republic,192,70,B,R,Anderson,Hernandez,,,,,,,
hernada02,,33435157,1996,12,17,Darwinzon,Hernandez,Venezuela,255,74,L,L,Darwinzon,Hernandez,0,254,74,L,L,Darwinzon,Hernandez,,,,,,,
hernael01,54119,,1995,5,3,Elieser,Hernandez,Venezuela,214,72,R,R,Elieser,Hernandez,,,,,,,,Venezuela,214,73,R,R,Elieser,Hernandez
hernael02,,33235159,1994,11,21,Elier,Hernandez,D.R.,197,75,R,R,Elier,Hernandez,0,196,73,R,R,Elier,Hernandez,,,,,,,
hernafe01,71829,,1971,6,16,Fernando,Hernandez,D.R.,185,74,R,R,Fernando,Hernandez,,,,,,,,D.R,185,74,R,R,Fernando,Hernandez
herreel01,,106435,1985,2,1,Elian,Herrera,D.R.,205,71,B,R,Elian,Herrera,Dominican Republic,205,71,B,R,Elian,Herrera,,,,,,,
herrejo02,71859,,1972,8,30,Jose,Herrera,D.R.,165,72,L,L,Jose,Herrera,,,,,,,,D.R,172,72,L,L,Jose,Herrera
herreyo01,,106259,1981,4,28,Yoslan,Herrera,Cuba,200,74,R,R,Yoslan,Herrera,Cuba,216,74,R,R,Yoslan,Herrera,,,,,,,
herrmfr01,,106482,1984,5,30,Frank,Herrmann,USA,220,76,L,R,Frank,Herrmann,United States,220,76,L,R,Frank,Herrmann,,,,,,,
hessmmi01,,105842,1978,3,5,Mike,Hessman,USA,215,77,R,R,Mike,Hessman,United States,216,77,R,R,Mike,Hessman,,,,,,,
hiattph01,,104497,1969,5,1,Phil,Hiatt,USA,200,75,R,R,Phil,Hiatt,United States,201,75,R,R,Phil,Hiatt,,,,,,,
hicksji01,,102780,1939,5,18,Jim,Hicks,USA,205,75,R,R,Jim,Hicks,United States,205,75,R,R,Jim,Hicks,,,,,,,
hillmer01,,104331,1966,4,27,Eric,Hillman,USA,235,82,L,L,Eric,Hillman,United States,236,82,L,L,Eric,Hillman,,,,,,,
hiltoda01,,103062,1950,9,15,Dave,Hilton,USA,191,71,R,R,Dave,Hilton,United States,192,71,R,R,Dave,Hilton,,,,,,,
hinshge01,,103837,1959,10,23,George,Hinshaw,USA,185,72,R,R,George,Hinshaw,United States,185,72,R,R,George,Hinshaw,,,,,,,
hiranyo01,,105422,1984,3,8,Yoshihisa,Hirano,Japan,185,73,R,R,Yoshihisa,Hirano,Japan,194,73,R,R,Yoshihisa,Hirano,,,,,,,
hodgeke01,74458,104902,1973,6,24,Kevin,Hodges,USA,200,76,R,R,Kevin,Hodges,United States,201,76,R,R,Kevin,Hodges,United States,201,76,R,R,Kevin,Hodges
hodgetr01,,105203,1978,6,29,Trey,Hodges,USA,187,75,R,R,Trey,Hodges,United States,187,75,R,R,Trey,Hodges,,,,,,,
hoffmgu01,,103833,1956,7,9,Guy,Hoffman,USA,175,69,L,L,Guy,Hoffman,United States,174,69,L,L,Guy,Hoffman,,,,,,,
hoffpmi01,,105844,1980,3,1,Micah,Hoffpauir,USA,215,75,L,L,Micah,Hoffpauir,United States,214,76,L,L,Micah,Hoffpauir,,,,,,,
hollida02,,105455,1974,6,12,Damon,Hollins,USA,180,71,R,L,Damon,Hollins,United States,181,71,R,L,Damon,Hollins,,,,,,,
holtch01,,104988,1971,9,18,Chris,Holt,USA,205,76,R,R,Chris,Holt,United States,205,76,R,R,Chris,Holt,,,,,,,
holtzmi01,,105265,1972,10,10,Mike,Holtz,USA,172,69,L,L,Mike,Holtz,United States,172,69,L,L,Mike,Holtz,,,,,,,
holzema01,,104884,1969,8,20,Mark,Holzemer,USA,165,72,L,L,Mark,Holzemer,United States,165,72,L,L,Mark,Holzemer,,,,,,,
hopkiga01,,102907,1943,2,19,Gail,Hopkins,USA,198,70,L,R,Gail,Hopkins,United States,198,70,L,R,Gail,Hopkins,,,,,,,
