npbbID,playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
374,100057,1936.1S,1,JBL,KINKO,3,11,1,5,0,0,0,1,4,,2,1,,,5,0.455,0.455,,,,
375,100057,1936.2F,1,JBL,KINKO,26,94,12,13,1,1,0,8,3,,16,10,,,16,0.138,0.17,,,,
376,100057,1937.1S,1,JBL,KINKO,54,211,26,47,3,2,0,14,11,,17,10,,,54,0.223,0.256,,,,
377,100057,1939,1,JBL,KINKO,51,178,27,44,9,1,1,17,8,,33,13,,222.0,58,0.247,0.326,0.369,0.695,0.149,0.059
378,100057,1940,1,JBL,KINKO,100,378,39,89,16,5,4,45,13,,51,41,,450.0,127,0.235,0.336,0.327,0.663,0.113,0.091
379,100057,1941,1,JBL,TAIYO,87,320,20,69,8,0,0,23,13,,64,24,,,77,0.216,0.241,,,,
380,100057,1942,1,JBL,TAIYO,105,396,23,82,8,2,3,19,10,3.0,60,33,,,103,0.207,0.26,,,,
381,100057,1943,1,JBL,NISHITETSU,84,308,43,60,10,1,1,19,6,4.0,63,27,,,75,0.195,0.244,,,,
382,100057,1948,1,JBL,KINSEI,61,163,21,27,5,0,2,17,5,3.0,29,15,,,38,0.166,0.233,,,,
383,100058,1936.1S,1,JBL,KINKO,12,44,10,14,2,1,0,4,4,,7,6,,,18,0.318,0.409,,,,
384,100058,1936.2F,1,JBL,KINKO,6,22,4,5,0,0,0,0,0,,3,4,,,5,0.227,0.227,,,,
385,100058,1937.1S,1,JBL,KINKO,49,134,12,36,4,1,0,12,6,,23,11,,,42,0.269,0.313,,,,
386,100058,1937.2F,1,JBL,KINKO,49,197,22,49,3,2,1,15,8,,23,15,,,59,0.249,0.299,,,,
387,100058,1938.1S,1,JBL,KINKO,35,129,21,33,1,1,0,11,14,,23,11,,,36,0.256,0.279,,,,
388,100058,1941,1,JBL,HANKYU,16,24,1,5,1,0,0,1,3,,1,2,,,6,0.208,0.25,,,,
389,100058,1942,1,JBL,HANKYU,25,84,7,11,0,0,0,3,0,0.0,7,5,,,11,0.131,0.131,,,,
390,100059,1936.1S,1,JBL,SENATORS,12,42,7,13,4,0,1,10,0,,4,8,,,20,0.31,0.476,,,,
391,100059,1936.2F,1,JBL,SENATORS,3,5,0,0,0,0,0,0,0,,1,2,,,0,0.0,0.0,,,,
392,100059,1937.1S,1,JBL,SENATORS,45,133,9,25,6,1,0,14,1,,17,24,,,33,0.188,0.248,,,,
393,100059,1937.2F,1,JBL,SENATORS,22,66,1,9,3,0,0,5,0,,15,17,,,12,0.136,0.182,,,,
394,100059,1938.1S,1,JBL,SENATORS,35,126,11,30,5,1,0,18,2,,14,23,,,37,0.238,0.294,,,,
395,100060,1936.1S,1,JBL,DAI TOKYO,14,49,3,10,1,0,0,4,2,,14,12,,,11,0.204,0.224,,,,
396,100061,1936.1S,1,JBL,DAI TOKYO,1,1,0,0,0,0,0,0,0,,0,1,,,0,0.0,0.0,,,,
397,100062,1936.1S,1,JBL,OSAKA,15,58,6,19,5,1,1,17,0,,8,5,,,29,0.328,0.5,,,,
398,100062,1936.2F,1,JBL,OSAKA,31,113,17,28,9,0,1,21,4,,20,11,,,40,0.248,0.354,,,,
399,100062,1937.1S,1,JBL,OSAKA,55,190,41,55,14,5,2,47,7,,51,17,,,85,0.289,0.447,,,,
400,100062,1937.2F,1,JBL,OSAKA,38,120,28,40,12,2,3,31,5,,44,5,,,65,0.333,0.542,,,,
401,100062,1938.1S,1,JBL,OSAKA,31,120,19,34,6,0,5,31,0,,21,13,,,55,0.283,0.458,,,,
402,100062,1938.2F,1,JBL,OSAKA,27,99,15,26,5,0,1,13,1,,17,6,,,34,0.263,0.343,,,,
403,100062,1939,1,JBL,OSAKA,74,267,33,69,7,1,9,38,6,,36,23,,303.0,105,0.258,0.393,0.347,0.74,0.119,0.076
404,100062,1943,1,JBL,HANSHIN,52,167,13,36,5,1,3,24,5,2.0,40,7,,,52,0.216,0.311,,,,
405,100063,1936.1S,1,JBL,OSAKA,3,3,1,1,1,0,0,1,0,,0,0,,,2,0.333,0.667,,,,
406,100063,1936.2F,1,JBL,OSAKA,7,6,2,0,0,0,0,2,0,,3,1,,,0,0.0,0.0,,,,
407,100063,1937.1S,1,JBL,DAI TOKYO,16,36,5,13,2,1,0,7,0,,2,6,,,17,0.361,0.472,,,,
408,100063,1937.2F,1,JBL,LION,35,91,7,20,4,1,0,9,0,,4,13,,,26,0.22,0.286,,,,
409,100063,1938.1S,1,JBL,LION,29,83,5,20,3,0,1,11,1,,4,13,,,26,0.241,0.313,,,,
410,100063,1938.2F,1,JBL,LION,32,91,7,19,4,4,0,11,1,,5,11,,,31,0.209,0.341,,,,
411,100063,1939,1,JBL,LION,74,156,13,28,5,2,1,15,1,,5,23,,163.0,40,0.179,0.256,0.204,0.46,0.031,0.141
412,100063,1940,1,JBL,LION,68,139,7,20,4,0,1,14,0,,8,28,,150.0,27,0.144,0.194,0.195,0.389,0.053,0.187
413,100063,1941,1,JBL,ASAHI,1,1,0,0,0,0,0,0,0,,0,0,,,0,0.0,0.0,,,,
414,100063,1944,1,JBL,ASAHI,21,87,4,30,5,1,1,15,0,0.0,2,7,,,40,0.345,0.46,,,,
415,100063,1946,1,JBL,GOLD STAR,53,190,16,37,3,2,3,21,0,3.0,16,13,,,53,0.195,0.279,,,,
416,100064,1936.1S,1,JBL,HANKYU,10,15,2,1,0,0,0,2,0,,3,0,,,1,0.067,0.067,,,,
417,100064,1936.2F,1,JBL,HANKYU,8,13,1,4,0,0,0,2,0,,3,1,,,4,0.308,0.308,,,,
418,100064,1937.1S,1,JBL,HANKYU,30,86,14,22,3,1,0,11,3,,16,5,,,27,0.256,0.314,,,,
419,100064,1937.2F,1,JBL,HANKYU,24,22,5,4,1,0,0,3,0,,10,4,,,5,0.182,0.227,,,,
420,100064,1938.1S,1,JBL,HANKYU,18,22,2,2,0,0,0,1,0,,7,1,,,2,0.091,0.091,,,,
421,100064,1938.2F,1,JBL,HANKYU,16,26,6,9,1,1,0,6,1,,12,2,,,12,0.346,0.462,,,,
422,100064,1939,1,JBL,HANKYU,59,126,16,35,4,2,1,14,3,,21,17,,152.0,46,0.278,0.365,0.376,0.741,0.138,0.112
423,100064,1940,1,JBL,HANKYU,71,173,11,40,6,1,1,20,3,,34,17,,215.0,51,0.231,0.295,0.354,0.649,0.158,0.079
424,100064,1941,1,JBL,HANKYU,22,40,1,5,0,0,0,1,1,,5,3,,,5,0.125,0.125,,,,
425,100065,1936.1S,1,JBL,HANKYU,8,20,2,4,0,1,0,1,1,,0,5,,,6,0.2,0.3,,,,
426,100065,1936.2F,1,JBL,HANKYU,19,53,6,18,1,0,0,7,3,,6,2,,,19,0.34,0.358,,,,
427,100065,1937.1S,1,JBL,HANKYU,26,53,9,6,1,0,0,4,1,,5,5,,,7,0.113,0.132,,,,
428,100065,1937.2F,1,JBL,HANKYU,25,52,6,14,1,1,0,6,0,,8,8,,,17,0.269,0.327,,,,
429,100065,1938.1S,1,JBL,HANKYU,16,31,5,4,0,0,0,6,0,,7,2,,,4,0.129,0.129,,,,
430,100065,1938.2F,1,JBL,HANKYU,17,45,2,4,1,0,0,1,0,,0,4,,,5,0.089,0.111,,,,
431,100065,1939,1,JBL,HANKYU,32,59,6,14,2,0,0,7,0,,8,5,,67.0,16,0.237,0.271,0.328,0.6,0.119,0.075
432,100065,1940,1,JBL,HANKYU,46,94,13,22,3,0,0,7,0,,18,11,,119.0,25,0.234,0.266,0.368,0.634,0.151,0.092
433,100065,1941,1,JBL,NANKAI,28,41,1,3,0,0,0,1,0,,9,8,,,3,0.073,0.073,,,,
434,100065,1942,1,JBL,NANKAI,35,68,4,11,1,0,0,3,0,0.0,4,2,,,12,0.162,0.176,,,,
435,100065,1943,1,JBL,YAMATO,38,89,5,20,3,0,1,8,1,0.0,5,12,,,26,0.225,0.292,,,,
436,100065,1946,1,JBL,GOLD STAR,46,105,11,26,5,2,0,18,0,1.0,9,5,,,35,0.248,0.333,,,,
437,100066,1936.1S,1,JBL,KYOJIN,7,28,4,4,1,0,1,4,0,,4,4,,,8,0.143,0.286,,,,
438,100066,1936.2F,1,JBL,KYOJIN,27,90,8,24,6,0,0,15,10,,9,11,,,30,0.267,0.333,,,,
439,100066,1940,1,JBL,KYOJIN,62,165,11,27,2,1,0,10,8,,18,21,,187.0,31,0.164,0.188,0.249,0.437,0.096,0.112
440,100066,1941,1,JBL,KYOJIN,38,37,3,5,0,0,0,1,0,,4,3,,,5,0.135,0.135,,,,
441,100066,1942,1,JBL,KYOJIN,48,55,8,12,0,0,0,5,1,0.0,5,6,,,12,0.218,0.218,,,,
442,100066,1943,1,JBL,KYOJIN,24,19,1,4,0,0,0,1,1,0.0,2,2,,,4,0.211,0.211,,,,
443,100066,1946,1,JBL,KYOJIN,58,186,17,46,5,1,1,28,4,3.0,24,12,,,56,0.247,0.301,,,,
444,100066,1947,1,JBL,YOMIURI,36,51,8,7,1,0,0,3,0,0.0,4,8,,,8,0.137,0.157,,,,
445,100067,1936.1S,1,JBL,NAGOYA,13,47,5,10,3,0,1,5,0,,4,4,,,16,0.213,0.34,,,,
446,100067,1936.2F,1,JBL,NAGOYA,26,89,9,14,1,0,1,7,2,,12,13,,,18,0.157,0.202,,,,
447,100067,1937.1S,1,JBL,NAGOYA,43,131,10,28,2,0,0,14,3,,19,11,,,30,0.214,0.229,,,,
448,100067,1941,1,JBL,ASAHI,60,189,14,40,3,0,2,17,10,,36,16,,,49,0.212,0.259,,,,
449,100067,1942,1,JBL,ASAHI,89,292,19,61,9,0,1,15,8,2.0,26,24,,,73,0.209,0.25,,,,
